movie_id,imdb_id,tmdb_id,average_rating,title
39427,0371257,8066,3.46532,Stay (2005)
54787,0804461,11835,3.19394,Death Sentence (2007)
312835,31176520,648878,3.43536,Eddington (2025)
104457,1853739,83899,3.45636,You're Next (2013)
3598,0171359,10688,3.38126,Hamlet (2000)
527,0108052,424,4.23528,Schindler's List (1993)
197651,7984766,504949,3.65,The King (2019)
130576,2649554,245703,3.29428,Midnight Special (2016)
77843,1379177,38542,3.29679,The Disappearance of Alice Creed (2009)
1047,0116908,11412,3.41584,The Long Kiss Goodnight (1996)
183323,5751998,412000,3.34733,Small Town Crime (2018)
27674,0331811,9282,3.54901,11:14 (2004)
72731,0380510,7980,3.19374,The Lovely Bones (2009)
82459,1403865,44264,3.78368,True Grit (2010)
143385,3682448,296098,3.78891,Bridge of Spies (2015)
53788,0796212,13807,3.51047,Exiled (2006)
89629,1545759,61404,3.45526,Point Blank (2010)
100383,2053463,109421,3.51324,Side Effects (2013)
115231,2170593,239563,3.46098,St. Vincent (2014)
89118,1189073,63311,3.75784,The Skin I Live In (2011)
242204,11655202,663870,3.68647,Riders of Justice (2020)
4640,0222851,327,3.5617,Brother (2000)
3105,0099077,11005,3.77558,Awakenings (1990)
4641,0162346,1548,3.74549,Ghost World (2001)
7201,0310924,6277,3.2,Crime Spree (2003)
64034,0914798,14574,3.76393,The Boy in the Striped Pyjamas (2008)
75813,1151359,12834,3.32444,Leaves of Grass (2009)
5670,0328962,19973,3.53701,Comedian (2002)
39,0112697,9603,3.43761,Clueless (1995)
2600,0120907,1946,3.36997,eXistenZ (1999)
5673,0272338,8051,3.58117,Punch-Drunk Love (2002)
96302,2025526,79224,3.67883,War of the Arrows (2011)
4661,0098273,12150,3.47018,Sea of Love (1989)
6197,0278731,9613,3.39365,Spider (2002)
96829,2106476,103663,4.07472,The Hunt (2012)
65596,1259014,13635,3.63602,Mesrine: Killer Instinct (2008)
68159,0473705,16995,3.57585,State of Play (2009)
221244,8143990,541305,3.43213,Kajillionaire (2020)
4161,0236493,6073,3.02036,The Mexican (2001)
96832,2076220,103328,3.5825,Holy Motors (2012)
6214,0290673,979,3.60734,Irreversible (2002)
53318,0460740,12225,3.55903,Cashback (2007)
150602,4048668,333675,2.85256,Band of Robbers (2016)
259659,4244994,617653,3.58005,The Last Duel (2021)
1610,0099810,1669,3.86956,The Hunt for Red October (1990)
75341,1403981,23169,3.41001,Remember Me (2010)
8781,0368008,14462,3.35375,The Manchurian Candidate (2004)
197197,8236336,524348,3.68446,The Report (2019)
27727,0347048,363,3.90072,Head-On (2004)
2128,0120813,16155,3.25741,Safe Men (1998)
26704,0100685,1662,3.50222,State of Grace (1990)
206419,8404614,551332,3.7218,The Two Popes (2019)
110675,2101569,226448,3.60168,In Your Eyes (2014)
197207,6820256,453755,3.49515,Arctic (2018)
89,0113972,2086,3.12344,Nick of Time (1995)
1631,0118647,18355,3.41431,The Assignment (1997)
113250,2675914,252822,3.51701,In Order of Disappearance (2014)
3686,0099582,1551,3.24887,Flatliners (1990)
106100,0790636,152532,3.90095,Dallas Buyers Club (2013)
57464,0760311,10247,3.39625,He Was a Quiet Man (2007)
69757,1022603,19913,3.725,(500) Days of Summer (2009)
107141,2140373,140823,3.60816,Saving Mr. Banks (2013)
31878,0373074,9470,3.7637,Kung Fu Hustle (2004)
40583,0365737,231,3.52587,Syriana (2005)
170629,5155780,376134,3.22703,The Discovery (2017)
71304,0762073,22536,3.56555,Thirst (2009)
317071,1527793,639988,3.86552,No Other Choice (2025)
3728,0102592,21128,3.75659,One False Move (1992)
98961,1790885,97630,3.71259,Zero Dark Thirty (2012)
5265,0266452,9275,3.15303,Death to Smoochy (2002)
143511,3327994,359364,4.04712,Human (2015)
6297,0311289,8326,3.52378,Holes (2003)
7321,0315297,13572,2.55839,Twisted (2004)
167064,5804038,411019,3.68929,I Am Not Your Negro (2017)
6300,0236027,10180,3.74543,Flickering Lights (2000)
200354,1860242,500682,3.52107,The Highwaymen (2019)
36517,0387131,1985,3.68181,The Constant Gardener (2005)
112804,2884206,244267,3.67623,I Origins (2014)
40614,0398017,8999,3.21482,Derailed (2005)
316077,27847051,1220564,3.64565,The Secret Agent (2025)
278702,11564570,661374,3.58858,Glass Onion: A Knives Out Mystery (2022)
71341,0450336,30685,2.67241,Blood Creek (2009)
82093,1213648,48838,3.16295,London Boulevard (2010)
36525,0425123,9007,3.48283,Just Like Heaven (2005)
315561,36491653,1456349,3.61364,It Was Just an Accident (2025)
6322,0310910,10743,3.43138,Confidence (2003)
54962,0810988,12994,3.2942,The Nines (2007)
78003,0821442,23538,3.72,A Dirty Carnival (2006)
252086,13087796,795813,3.4125,I'm Your Man (2021)
36535,0404030,340,3.76342,Everything Is Illuminated (2005)
27838,0377091,12281,3.54578,Mean Creek (2004)
233661,8368512,522241,3.64026,The Courier (2020)
6337,0285861,15394,3.50437,Owning Mahowny (2003)
91842,1524137,77866,3.20825,Contraband (2012)
225984,10288566,580175,3.82028,Another Round (2020)
241350,7583280,510458,2.5,Heaven Without People (2017)
3783,0159382,12706,3.77615,Croupier (1998)
175813,2121382,265189,3.80207,Force Majeure (2014)
109769,2438644,196024,3.47418,The Keeper of Lost Causes (2013)
32460,0119472,158,4.01519,Knockin' on Heaven's Door (1997)
100556,2375605,123678,3.99273,The Act of Killing (2012)
1747,0120885,586,3.50856,Wag the Dog (1997)
72405,1095217,11699,3.37926,Bad Lieutenant: Port of Call New Orleans (2009)
31445,0362590,11413,2.94424,Employee of the Month (2004)
78039,1120985,46705,3.67477,Blue Valentine (2010)
7383,0323939,14576,3.21992,Shade (2003)
108760,2309224,171540,3.33333,Big Bad Wolves (2013)
1246,0097165,207,3.9486,Dead Poets Society (1989)
6879,0313542,11329,3.58955,Runaway Jury (2003)
127202,2582496,308369,3.8407,Me and Earl and the Dying Girl (2015)
112868,2910814,242095,3.1346,The Signal (2014)
275169,11897478,848791,3.40876,The Stranger (2022)
71910,0471041,24056,2.89968,The Tournament (2009)
2280,0118863,26618,3.31452,Clay Pigeons (1998)
81641,0977855,38363,3.3559,Fair Game (2010)
87785,1135084,22907,3.03261,Takers (2010)
205545,5431890,393624,3.74007,Official Secrets (2019)
208108,9071322,552178,3.88982,Dark Waters (2019)
4336,0110631,6498,3.54083,Nightwatch (1994)
5364,0250797,2251,3.34105,Unfaithful (2002)
1784,0119822,2898,3.7706,As Good as It Gets (1997)
92920,1703148,70954,3.39002,The Hunter (2011)
3323,0194368,20682,3.14851,Chain of Fools (2001)
8955,0360130,16131,3.38142,Undertow (2004)
2302,0104952,10377,3.61165,My Cousin Vinny (1992)
188675,6768578,483184,3.66743,Dogman (2018)
316163,12001534,744653,3.14684,The Thursday Murder Club (2025)
318211,27543632,1368166,3.27855,The Housemaid (2025)
4885,0249478,11456,2.79071,Domestic Disturbance (2001)
4889,0252503,11088,3.38321,Heist (2001)
2842,0133412,18621,3.17089,Best Laid Plans (1999)
1307,0098635,639,3.83703,When Harry Met Sally... (1989)
2334,0133952,9882,3.1263,The Siege (1998)
799,0116365,10779,3.36292,The Frighteners (1996)
179491,4348012,429733,3.32971,Mayhem (2017)
57637,0780607,13059,3.12871,The Signal (2007)
283425,16280138,906221,2.74684,Magic Mike's Last Dance (2023)
1834,0120176,29193,3.85726,The Spanish Prisoner (1997)
4907,0068168,23847,3.38199,Across 110th Street (1972)
71466,1174730,28053,3.67617,City Island (2009)
278824,15301048,714888,3.70098,Argentina 1985 (2022)
79663,1217070,33195,3.11905,Triage (2009)
102194,1935179,103731,3.64776,Mud (2013)
61236,1185616,8885,3.86905,Waltz with Bashir (2008)
3893,0171580,10480,3.15109,Nurse Betty (2000)
3896,0202677,1619,3.27635,The Way of the Gun (2000)
3906,0164212,10562,3.18132,Under Suspicion (2000)
41285,0416320,116,3.71784,Match Point (2005)
110407,2317225,174675,3.17701,The Machine (2013)
91474,1541160,62046,3.28439,Flypaper (2011)
6484,0329717,11375,2.64975,Hollywood Homicide (2003)
47446,0428856,16998,3.45682,The Moustache (2005)
159061,5215952,293670,3.81237,The Wailing (2016)
