movie_id,imdb_id,tmdb_id,rating,average_rating,title
2,0113497,8844,3.0,3.29209,Jumanji (1995)
6,0113277,949,4.5,3.87202,Heat (1995)
10,0113189,710,4.5,3.43658,GoldenEye (1995)
16,0112641,524,5.0,3.8384,Casino (1995)
18,0113101,5,1.5,3.41828,Four Rooms (1995)
19,0112281,9273,3.0,2.67957,Ace Ventura: When Nature Calls (1995)
21,0113161,8012,3.5,3.56234,Get Shorty (1995)
32,0114746,63,5.0,3.89643,Twelve Monkeys (1995)
47,0114369,807,5.0,4.09374,Se7en (1995)
50,0114814,629,4.0,4.256,The Usual Suspects (1995)
70,0116367,755,4.0,3.35101,From Dusk Till Dawn (1996)
95,0115759,9208,3.5,3.10184,Broken Arrow (1996)
104,0116483,9614,3.5,3.4059,Happy Gilmore (1996)
110,0112573,197,4.0,3.99212,Braveheart (1995)
111,0075314,103,4.5,4.07494,Taxi Driver (1976)
141,0115685,11000,4.0,3.52429,The Birdcage (1996)
145,0112442,9737,4.5,3.2856,Bad Boys (1995)
150,0112384,568,4.0,3.89102,Apollo 13 (1995)
163,0112851,8068,4.0,3.43552,Desperado (1995)
164,0112857,8512,2.5,3.45638,Devil in a Blue Dress (1995)
165,0112864,1572,5.0,3.52143,Die Hard: With a Vengeance (1995)
170,0113243,10428,3.5,3.23183,Hackers (1995)
173,0113492,9482,3.5,2.56385,Judge Dredd (1995)
198,0114558,281,4.0,3.4271,Strange Days (1995)
208,0114898,9804,4.0,2.88443,Waterworld (1995)
216,0112508,11017,3.5,3.25549,Billy Madison (1995)
224,0112883,1909,4.0,3.4297,Don Juan DeMarco (1994)
231,0109686,8467,4.0,2.99008,Dumb and Dumber (1994)
260,0076759,11,1.0,4.08655,Star Wars (1977)
288,0110632,241,2.0,3.26858,Natural Born Killers (1994)
292,0114069,6950,3.5,3.41897,Outbreak (1995)
293,0110413,101,4.0,4.09191,Léon: The Professional (1994)
296,0110912,680,4.0,4.19537,Pulp Fiction (1994)
318,0111161,278,5.0,4.41471,The Shawshank Redemption (1994)
322,0114594,20306,4.0,3.66759,Swimming with Sharks (1994)
344,0109040,3049,3.5,3.00517,Ace Ventura: Pet Detective (1994)
350,0109446,10731,2.5,3.46475,The Client (1994)
356,0109830,13,5.0,4.07159,Forrest Gump (1994)
367,0110475,854,4.0,3.19555,The Mask (1994)
368,0110478,9359,4.5,3.41153,Maverick (1994)
377,0111257,1637,4.0,3.49393,Speed (1994)
431,0106519,6075,3.0,3.71471,Carlito's Way (1993)
454,0106918,37233,3.0,3.50726,The Firm (1993)
457,0106977,5503,4.0,3.97624,The Fugitive (1993)
480,0107290,329,2.0,3.70225,Jurassic Park (1993)
485,0107362,9593,3.0,2.81632,Last Action Hero (1993)
490,0107497,2246,2.0,3.34942,Malice (1993)
500,0107614,788,3.0,3.40379,Mrs. Doubtfire (1993)
541,0083658,78,2.0,4.11014,Blade Runner (1982)
553,0108358,11969,4.0,3.70751,Tombstone (1993)
555,0108399,319,4.0,3.80658,True Romance (1993)
586,0099785,771,4.0,3.20553,Home Alone (1990)
589,0103064,280,4.0,3.97135,Terminator 2: Judgment Day (1991)
593,0102926,274,4.0,4.14967,The Silence of the Lambs (1991)
597,0100405,114,4.0,3.44228,Pretty Woman (1990)
608,0116282,275,5.0,4.11696,Fargo (1996)
628,0117381,1592,4.0,3.76444,Primal Fear (1996)
648,0117060,954,4.5,3.42112,Mission: Impossible (1996)
733,0117500,9802,4.0,3.68587,The Rock (1996)
778,0117951,627,2.0,4.01379,Trainspotting (1996)
780,0116629,602,3.5,3.40508,Independence Day (1996)
